330000000 fs: UART: Initializing...                                                      
UART write: 0x1 : 0x00
UART write: 0x2 : 0x00
UART write: 0x3 : 0x00
UART write: 0x4 : 0x00
UART write: 0x7 : 0x00
780000000 fs: UART: Checking registers after reset...                                    
UART read:  0x0 : 0x00
UART read:  0x0 : 0x00
UART read:  0x1 : 0x00
UART read:  0x2 : 0x01
UART read:  0x3 : 0x00
UART read:  0x4 : 0x00
UART read:  0x5 : 0x60
UART read:  0x6 : 0x0F
UART read:  0x7 : 0x00
1860000000 fs: UART: Enabling local LOOP mode...                                          
UART write: 0x4 : 0x10
UART read:  0x4 : 0x10
2070000000 fs: UART: Setting baudrate to 115200                                           
UART write: 0x3 : 0x80
UART write: 0x0 : 0x01
UART write: 0x1 : 0x00
UART read:  0x3 : 0x80
UART read:  0x0 : 0x01
UART read:  0x1 : 0x00
UART write: 0x3 : 0x00
UART read:  0x3 : 0x00
2910000000 fs: UART: Enabling interrupts...                                               
UART write: 0x1 : 0x0F
UART read:  0x1 : 0x0F
UART read:  0x2 : 0x02
UART read:  0x2 : 0x01
3360000000 fs: UART: Checking control lines...                                            
UART write: 0x4 : 0x11
UART read:  0x4 : 0x11
UART read:  0x2 : 0x00
UART read:  0x6 : 0x22
UART read:  0x6 : 0x20
UART read:  0x2 : 0x01
UART write: 0x4 : 0x13
UART read:  0x4 : 0x13
UART read:  0x2 : 0x00
UART read:  0x6 : 0x31
UART read:  0x6 : 0x30
UART read:  0x2 : 0x01
UART write: 0x4 : 0x17
UART read:  0x4 : 0x17
UART write: 0x4 : 0x13
UART read:  0x4 : 0x13
UART read:  0x2 : 0x00
UART read:  0x6 : 0x34
UART read:  0x2 : 0x01
UART read:  0x6 : 0x30
UART write: 0x4 : 0x1B
UART read:  0x4 : 0x1B
UART read:  0x2 : 0x00
UART read:  0x6 : 0xB8
UART read:  0x6 : 0xB0
UART read:  0x2 : 0x01
UART write: 0x4 : 0x10
UART read:  0x4 : 0x10
UART read:  0x2 : 0x00
UART read:  0x6 : 0x0B
UART read:  0x2 : 0x01
6900000000 fs: UART: Checking interrupt priority control...                               
UART write: 0x4 : 0x11
UART write: 0x4 : 0x10
UART write: 0x0 : 0x12
UART write: 0x3 : 0x40
UART write: 0x3 : 0x00
UART read:  0x2 : 0x06
UART read:  0x5 : 0x7B
UART read:  0x2 : 0x04
UART read:  0x2 : 0x04
UART read:  0x0 : 0x00
UART write: 0x0 : 0x34
UART read:  0x5 : 0x61
UART write: 0x0 : 0x56
UART read:  0x2 : 0x04
UART read:  0x2 : 0x06
UART read:  0x5 : 0x63
UART read:  0x5 : 0x61
UART read:  0x2 : 0x04
UART read:  0x0 : 0x16
UART read:  0x2 : 0x02
UART read:  0x2 : 0x00
UART read:  0x2 : 0x00
UART read:  0x6 : 0x02
UART read:  0x2 : 0x01
UART write: 0x0 : 0x78
UART read:  0x2 : 0x04
UART read:  0x0 : 0x18
UART read:  0x2 : 0x02
UART read:  0x2 : 0x01
400740000000 fs: UART: Setting LCR to 0x00                                                  
UART write: 0x3 : 0x00
400830000000 fs: UART: Transmission test single byte (FIFO disabled)                        
UART write: 0x0 : 0x55
UART read:  0x5 : 0x61
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x15
UART read:  0x5 : 0x60
UART read:  0x2 : 0x02
UART read:  0x2 : 0x01
558000000000 fs: UART: Transmission test multiple bytes (FIFO disabled)                     
UART read:  0x2 : 0x01
UART write: 0x0 : 0x00
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x00
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
UART write: 0x0 : 0x01
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x01
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
UART write: 0x0 : 0x02
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x02
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
UART write: 0x0 : 0x03
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x03
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
UART write: 0x0 : 0x04
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x04
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
UART write: 0x0 : 0x05
UART read:  0x2 : 0x04
UART read:  0x5 : 0x61
UART read:  0x0 : 0x05
UART read:  0x2 : 0x02
UART read:  0x5 : 0x60
UART read:  0x2 : 0x01
